configuration,agent,actor_loss_final_mean,actor_loss_final_std,critic_loss_final_mean,critic_loss_final_std,total_loss_final_mean,total_loss_final_std
MAPPO-GAT,B0,0.000992541311061359,0.005823718425180676,271509.8574633789,51409.80618802158,135754.90015624996,25704.90563230553
MAPPO-GAT,B1,0.0041559515094195375,0.005103244484398416,0.0,0.0,-0.027520858153002335,0.006098534125941114
MAPPO-GAT,B2,0.007504446435777935,0.006757957376355794,0.0,0.0,-0.024187223052140324,0.0067441643651758275
MAPPO-GAT,B3,0.007932481176776493,0.008141515321584568,0.0,0.0,-0.024668326523387803,0.00812879739188946
MAPPO-GAT,B4,0.0005999661107489373,0.003521271648486215,0.0,0.0,-0.04049298524158075,0.0038972859883350686
MAPPO-GCN,B0,0.002710483694345384,0.010790220548232369,35729.1466986084,9150.505658975277,17864.54455028534,4575.253757993059
MAPPO-GCN,B1,0.0005711859746111261,0.009157781606489914,0.0,0.0,-0.02899260724661872,0.009350175225203467
MAPPO-GCN,B2,-6.074700415410919e-05,0.008292592392747484,0.0,0.0,-0.026996145211742262,0.008376199975821777
MAPPO-GCN,B3,-0.001351465795378317,0.009919071503323586,0.0,0.0,-0.029940185784944333,0.009944310770309722
MAPPO-GCN,B4,-0.0029844501351908546,0.007980910449216732,0.0,0.0,-0.045953215979971,0.008004823555079045
IPPO-GAT,B0,-0.0014261661242926489,0.007824590079719423,155386.46402740479,28843.169322150843,77693.1974053955,14421.583042807124
IPPO-GAT,B1,0.00021464986406499517,0.009335306657697513,132782.2400305176,26225.82103280359,66391.08719360351,13112.914765591846
IPPO-GAT,B2,0.005295198931271443,0.01050062356365101,148246.28233703616,32961.453100903935,74123.11270355224,16480.72925427978
IPPO-GAT,B3,-0.0006906773064383742,0.00816146196238285,101968.3593322754,17644.00082868226,50984.14573883057,8821.998523542237
IPPO-GAT,B4,0.0010580507310805846,0.006851343281687374,143880.03043579104,30342.743565716366,71939.97279937743,15171.375637365252
IPPO-GCN,B0,0.0024988320639386073,0.01301158303728259,7785.142208442689,2935.369965241361,3892.546209335327,1467.6894850137794
IPPO-GCN,B1,0.0027256993460105148,0.008685947967432365,9465.52615951538,3490.911970229328,4732.734020557403,1745.4557758985231
IPPO-GCN,B2,-0.004909321416198509,0.010530639929058502,9209.035170001984,3161.346767106521,4604.482301483154,1580.6734139050666
IPPO-GCN,B3,-0.0011947343676183668,0.00948611076279647,9086.753482284545,3332.174823396451,4543.343775405884,1666.0891326402514
IPPO-GCN,B4,-0.0055392956368814335,0.006860497938127954,9510.322585868835,3238.0434789990577,4755.112761821748,1619.0185110218022
